,Attributes,Value
0,Name,Color Puzzle Game - Hue Color Match Offline Games
1,Genre,Puzzle
2,Number of Ratings,"1,14,637"
3,Average Rating,Rated 4.8 stars out of five stars
4,Updated,9 July 2021
5,Size,Varies with device
6,Installs,"5,000,000+"
7,Current Version,Varies with device
8,Requires Android,Varies with device
9,Content rating,Rated for 3+Learn more
10,Learn more,https://support.google.com/googleplay?p=appgame_ratings
11,In-app Products,₹310.00 per item
12,Permission,View details
13,View details,
14,Report,Flag as inappropriate
15,Flag as inappropriate,https://support.google.com/googleplay/?p=report_content
16,Offered By,SimpleLife Studio: Offline & Relaxing Puzzle Games
17,Developer,Visit websitesimplelifestudioofficial@gmail.comPrivacy Policysimplelifestudioofficial@gmail.com
18,Visit website,https://co2-games.com/
19,simplelifestudioofficial@gmail.com,mailto:simplelifestudioofficial@gmail.com
20,Privacy Policy,https://storage.googleapis.com/colorpuzzle_files/privacy_policy.html
21,What’s new,[Version 4.13.0] - New levels arrived!! Hope you enjoy new puzzles :)
22,description,"Are you a color master? Having extraordinary color vision acuity?Or looking for a relaxing, beautiful puzzle game?Then you MUST NOT miss this game!This free and offline beautiful color puzzle game includes 300+ levels.Different game modes and difficulties challenge your color perception!You can play alone, or share your elegant and beautiful hue puzzles with your love ones.Download now and enjoy the journey of becoming color master!♢ How to Play Color Puzzle Game ♢★ Color Puzzle Game is easy to play: Match color blocks, sort color block in hue orders★ After sorting color blocks in match hue orders, the beautiful color puzzle is completed★ Share your hue color puzzles with your love ones if you love the hue puzzle!♢ Color Puzzle Game Features ♢★ Free and easy to play: Enjoy the color puzzles★ Healing color puzzle game: Step by step to create your color puzzle★ Compare your game scores with the world average and test your perception of color and hue★ Every completed color puzzle can be downloaded as a free mobile hue wallpaper★ Challenge levels: Complete the level within limited moves, and you can download free limited edition wallpaper★ Puzzle games with many levels: enjoy the 300+ color puzzles★ Offline puzzle games that don't need wifi: Play Color Puzzle without wifi★ A relaxing offline hue game to share with love ones via social media appsDownload Color Puzzle Game now and enjoy the free and offline games"
